Entidad,poblacion,ingreso,analfabetismo,esperanza_vida,incidencia_asesinatos,bachiller_concluido,superficie
Aguascalientes,1425607,15959.62002,1.536748908,75.9,6.523536992,44.71267327,5616
Baja California,376920,20628.96217,1.392828905,76,78.72072847,46.09864103,71450
Baja California Sur,798447,19763.8705,1.744135804,75.9,9.768964001,47.80855836,73909
Campeche,928363,13171.17669,4.307151405,74.8,8.186452928,41.74487781,57507
Coahuila de Zaragoza,3146771,16035.05633,1.226844915,75.7,7.690422976,42.86085641,151562
Colima,731391,17842.17496,2.561420635,75.5,94.88768661,46.71099316,5627
Chiapas,5543828,7489.03064,9.248483178,74.3,9.668409626,25.8861386,73311
Chihuahua,3741869,18233.98215,1.95685632,75.4,92.68095703,42.30880343,247455
Ciudad de México,9209944,19911.72429,1.166608613,76.6,14.54949129,67.76588435,1495
Durango,1832650,13777.01568,1.952309497,75.1,9.167053174,36.68190871,123317
Guanajuato,6166934,12693.72176,3.872880754,75.2,87.07730616,32.14198498,30608
Guerrero,3540685,8745.902761,8.76460346,73.3,42.56238553,31.17224492,63596
Hidalgo,382841,11301.44235,4.908167499,75.1,11.87216597,37.33043644,20813
Jalisco,8348151,15648.90281,2.144355079,75.5,26.84426767,43.38555927,78588
México,16992418,13629.15431,2.191883462,75.5,18.17869593,44.61422147,22351
Michoacán de Ocampo,4748846,12760.38035,5.103113472,74.9,50.53859401,31.14400846,58599
Morelos,1971520,12427.55716,3.381299708,75.3,50.11361792,43.56709544,4879
Nayarit,1235456,15633.63632,3.275227932,75.3,14.97422814,41.24218102,27857
Nuevo León,5784442,21279.60071,1.106070387,75.9,15.88744429,46.39609145,64156
Oaxaca,4132148,9921.403603,8.5067379,74.2,21.1754274,28.6017103,93757
Puebla,6583278,10468.32421,5.076179374,74.9,15.66089112,37.36845079,34306
Querétaro,2368467,16977.35353,2.606496101,75.7,9.58425851,50.42253069,11699
Quintana Roo,1857985,13845.19221,2.272569477,75.5,33.80005759,46.7297637,44705
San Luis Potosí,2822255,12951.21589,3.713130103,74.9,28.45242545,38.66960994,61137
Sinaloa,326943,16045.74024,2.672597403,75.1,28.60972275,50.87684175,58200
Sonora,2944840,18334.1349,1.498689233,75.4,53.72108502,46.99002323,179355
Tabasco,2402598,11892.2278,3.698329891,75.1,24.34864259,41.91441931,24731
Tamaulipas,3527735,14836.50235,1.933138402,75.3,22.67744034,45.56005482,80249
Tlaxcala,1342977,9621.947929,2.428410911,75.3,11.46706161,39.55600133,4016
Veracruz de Ignacio de la Llave,862579,10354.71923,6.422237847,74.6,14.62311253,37.80545902,71826
Yucatán,2320898,13415.95243,4.554444013,74.7,3.102247492,42.34369628,39524
Zacatecas,1622138,12496.3382,2.686454543,75.1,76.68891303,31.75340199,75284
