"Latitud","Longitud","placas"
16.6212,-94.136,"Caribe"
17.4568,-94.9458,"Norteamérica"
21.9705,-99.4253,"Norteamérica"
16.44,-98.24,"Cocos"
19.36,-104.16,"Rivera"
15.6228,-93.6428,"Caribe"
19.121,-104.169,"Rivera"
15.99,-97.15,"Cocos"
31.71,-116.04,"Pacífico"
17.5882,-94.5142,"Norteamérica"
19.2113,-99.2342,"Norteamérica"
18.0452,-103.348,"Rivera"
19.449,-102.172,"Rivera"
19.5368,-102.069,"Rivera"
16.2388,-98.0978,"Cocos"
32.17,-114.55,"Norteamérica"
32.2673,-115.149,"Pacífico"
19.5185,-102.144,"Rivera"
15.1527,-94.4802,"Caribe"
14.9377,-94.1913,"Caribe"
31.0493,-116.489,"Pacífico"
19.58,-103.665,"Rivera"
18.235,-94.6367,"Norteamérica"
31.0697,-115.441,"Pacífico"
13.92,-93.13,"Caribe"
19.24,-104.34,"Rivera"
20.79,-103.36,"Rivera"
17.18,-100.96,"Cocos"
32.2315,-115.191,"Pacífico"
16.2672,-99.179,"Cocos"
31.2767,-114.292,"Pacífico"
18.6717,-104.41,"Rivera"
16.5083,-98.5047,"Cocos"
18.0805,-103.343,"Rivera"
31.31,-115.73,"Pacífico"
18.1623,-103.451,"Rivera"
15.0822,-94.1997,"Caribe"
14.231,-93.1418,"Caribe"
18.85,-107.39,"Rivera"
15.3,-93.28,"Caribe"
19.41,-99.07,"Norteamérica"
16.4563,-93.5178,"Caribe"
16.445,-95.1302,"Cocos"
18.62,-104.56,"Rivera"
14.5752,-93.3132,"Caribe"
14.0585,-92.5035,"Caribe"
24.8657,-110.337,"Pacífico"
18.8515,-98.8315,"Norteamérica"
19.34,-104.65,"Rivera"
31.86,-116.14,"Pacífico"
15.23,-93.4,"Caribe"
16.267,-93.7737,"Caribe"
30.8577,-114.2,"Pacífico"
16.2783,-98.216,"Cocos"
17.36,-93.02,"Caribe"
14.26,-92.62,"Caribe"
16.24,-98.08,"Cocos"
16.2688,-96.247,"Cocos"
20.2975,-99.0467,"Norteamérica"
18.25,-103.41,"Rivera"
16.2368,-98.1447,"Cocos"
17.1467,-100.994,"Cocos"
17.82,-93.92,"Norteamérica"
30.5828,-114.484,"Pacífico"
18.92,-106.88,"Rivera"
14.117,-91.966,"Caribe"
16.8603,-94.9112,"Cocos"
16.1342,-95.7613,"Cocos"
32.88,-115.48,"Pacífico"
30.9633,-115.691,"Pacífico"
19.4083,-102.164,"Rivera"
20.3585,-99.0453,"Norteamérica"
16.5978,-93.6042,"Caribe"
13.8637,-92.0762,"Caribe"
16.2403,-97.938,"Cocos"
31.5248,-115.57,"Pacífico"
32.31,-115.23,"Pacífico"
19.47,-92.19,"Norteamérica"
22.799,-102.591,"Norteamérica"
14.2608,-94.3122,"Caribe"
25.96,-110.64,"Pacífico"
13.9235,-92.6817,"Caribe"
19.0073,-101.73,"Rivera"
16.7583,-98.5318,"Cocos"
31.5083,-115.541,"Pacífico"
19.3715,-105.501,"Rivera"
17.3597,-94.6497,"Norteamérica"
16.5367,-100.076,"Cocos"
15.1162,-94.0053,"Caribe"
17.9883,-100.287,"Cocos"
14.0448,-93.3163,"Caribe"
16.2,-99.58,"Cocos"
24.8258,-109.156,"Norteamérica"
16.1037,-98.9315,"Cocos"
16.1097,-97.1913,"Cocos"
15.4913,-94.0212,"Caribe"
16.2875,-98.0247,"Cocos"
16.8728,-94.2982,"Caribe"
14.9478,-93.1497,"Caribe"
16.37,-94.33,"Caribe"
14.2073,-92.2552,"Caribe"
19.9775,-104.065,"Rivera"
28.2242,-112.194,"Norteamérica"
16.28,-98.1,"Cocos"
18.1158,-96.4393,"Cocos"
18.4303,-103.435,"Rivera"
16.041,-98.441,"Cocos"
30.9238,-115.654,"Pacífico"
30.3788,-109.561,"Norteamérica"
17.8,-94.49,"Norteamérica"
13.7592,-93.2948,"Caribe"
30.18,-114.06,"Pacífico"
32.4172,-115.314,"Pacífico"
17.3808,-95.5013,"Norteamérica"
19.92,-97.81,"Norteamérica"
17.2963,-100.622,"Cocos"
30.34,-113.78,"Norteamérica"
15.9728,-98.7393,"Cocos"
31.2523,-114.423,"Pacífico"
14.1027,-92.2693,"Caribe"
15.7318,-92.5755,"Caribe"
15.32,-93.74,"Caribe"
32.22,-115.17,"Pacífico"
15.2027,-94.2582,"Caribe"
32.095,-115.082,"Pacífico"
31.31,-115.22,"Pacífico"
17.8207,-95.1887,"Norteamérica"
19.35,-108.52,"Rivera"
30.7612,-114.166,"Pacífico"
19.2298,-104.058,"Rivera"
30.9218,-114.224,"Pacífico"
30.1285,-113.769,"Norteamérica"
18.0943,-98.4922,"Norteamérica"
16.388,-93.8077,"Caribe"
20.3187,-105.312,"Rivera"
17.5643,-94.7595,"Norteamérica"
19.2732,-103.777,"Rivera"
14.5735,-93.644,"Caribe"
15.1302,-93.499,"Caribe"
17.79,-102.94,"Rivera"
21.84,-99.15,"Norteamérica"
14.7572,-93.4443,"Caribe"
19.6418,-105.182,"Rivera"
18.3,-102.73,"Rivera"
31.1427,-115.506,"Pacífico"
19.5085,-102.148,"Rivera"
27.705,-105.705,"Norteamérica"
15.798,-93.5968,"Caribe"
14.567,-92.7153,"Caribe"
16.5785,-99.2378,"Cocos"
